fipsCode,fipsDescription,stateCode,abbrev,fips
01001,"Autauga County, Alabama",01,AL,001
01003,"Baldwin County, Alabama",01,AL,003
01005,"Barbour County, Alabama",01,AL,005
01007,"Bibb County, Alabama",01,AL,007
01009,"Blount County, Alabama",01,AL,009
01011,"Bullock County, Alabama",01,AL,011
01013,"Butler County, Alabama",01,AL,013
01015,"Calhoun County, Alabama",01,AL,015
01017,"Chambers County, Alabama",01,AL,017
01019,"Cherokee County, Alabama",01,AL,019
01021,"Chilton County, Alabama",01,AL,021
01023,"Choctaw County, Alabama",01,AL,023
01025,"Clarke County, Alabama",01,AL,025
01027,"Clay County, Alabama",01,AL,027
01029,"Cleburne County, Alabama",01,AL,029
01031,"Coffee County, Alabama",01,AL,031
01033,"Colbert County, Alabama",01,AL,033
01035,"Conecuh County, Alabama",01,AL,035
01037,"Coosa County, Alabama",01,AL,037
01039,"Covington County, Alabama",01,AL,039
01041,"Crenshaw County, Alabama",01,AL,041
01043,"Cullman County, Alabama",01,AL,043
01045,"Dale County, Alabama",01,AL,045
01047,"Dallas County, Alabama",01,AL,047
01049,"DeKalb County, Alabama",01,AL,049
01051,"Elmore County, Alabama",01,AL,051
01053,"Escambia County, Alabama",01,AL,053
01055,"Etowah County, Alabama",01,AL,055
01057,"Fayette County, Alabama",01,AL,057
01059,"Franklin County, Alabama",01,AL,059
01061,"Geneva County, Alabama",01,AL,061
01063,"Greene County, Alabama",01,AL,063
01065,"Hale County, Alabama",01,AL,065
01067,"Henry County, Alabama",01,AL,067
01069,"Houston County, Alabama",01,AL,069
01071,"Jackson County, Alabama",01,AL,071
01073,"Jefferson County, Alabama",01,AL,073
01075,"Lamar County, Alabama",01,AL,075
01077,"Lauderdale County, Alabama",01,AL,077
01079,"Lawrence County, Alabama",01,AL,079
01081,"Lee County, Alabama",01,AL,081
01083,"Limestone County, Alabama",01,AL,083
01085,"Lowndes County, Alabama",01,AL,085
01087,"Macon County, Alabama",01,AL,087
01089,"Madison County, Alabama",01,AL,089
01091,"Marengo County, Alabama",01,AL,091
01093,"Marion County, Alabama",01,AL,093
01095,"Marshall County, Alabama",01,AL,095
01097,"Mobile County, Alabama",01,AL,097
01099,"Monroe County, Alabama",01,AL,099
01101,"Montgomery County, Alabama",01,AL,101
01103,"Morgan County, Alabama",01,AL,103
01105,"Perry County, Alabama",01,AL,105
01107,"Pickens County, Alabama",01,AL,107
01109,"Pike County, Alabama",01,AL,109
01111,"Randolph County, Alabama",01,AL,111
01113,"Russell County, Alabama",01,AL,113
01115,"St. Clair County, Alabama",01,AL,115
01117,"Shelby County, Alabama",01,AL,117
01119,"Sumter County, Alabama",01,AL,119
01121,"Talladega County, Alabama",01,AL,121
01123,"Tallapoosa County, Alabama",01,AL,123
01125,"Tuscaloosa County, Alabama",01,AL,125
01127,"Walker County, Alabama",01,AL,127
01129,"Washington County, Alabama",01,AL,129
01131,"Wilcox County, Alabama",01,AL,131
